----------------------------------------
Begin PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
Job ID:		97888995.gm-1r16-n04.guillimin.clumeq.ca
Username:	hophy
Group:		fyw-423-02
Nodes:		sw-4r04-n08
End PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
----------------------------------------
Reading input from file input.out
Dim			:0.94407 
 Delr			:0.1 
 N				:48000 
 Maxbin_x			:413 
 Maxbin_y			:3167 
 Max_Maxbin			:3167 
 Drmax			:0.472035 
 Isave			:50 
 Iprint			:50 
 Iratio			:1 
 Cells.x			:20 
 Cells.y			:155 
 Region.x			:80 
 Region.y			:600 
 
Setting up initial square array configuration ....	 
 
number of particle	:48000
write out the inital configuration ...

START OF MARKOV CHAIN


ACM:	Ratio:	Drmax:
31600  0.5016  0.0766 
31650  0.4902  0.0720 
31700  0.5108  0.0747 
31750  0.4966  0.0702 
31800  0.4901  0.0729 
31850  0.5060  0.0757 
31900  0.4956  0.0711 
31950  0.5124  0.0738 
32000  0.5037  0.0766 
32050  0.4951  0.0720 
32100  0.5103  0.0747 
32150  0.5034  0.0776 
32200  0.4831  0.0729 
32250  0.5085  0.0757 
32300  0.4929  0.0711 
32350  0.5138  0.0738 
32400  0.5020  0.0766 
32450  0.4905  0.0720 
32500  0.5143  0.0747 
32550  0.5028  0.0776 
32600  0.4891  0.0729 
32650  0.5104  0.0756 
32700  0.4974  0.0711 
32750  0.5174  0.0738 
32800  0.5067  0.0766 
32850  0.4895  0.0719 
32900  0.5152  0.0747 
32950  0.5063  0.0775 
33000  0.4895  0.0728 
33050  0.5090  0.0756 
33100  0.4953  0.0710 
33150  0.4849  0.0738 
33200  0.5067  0.0766 
33250  0.4950  0.0719 
33300  0.5110  0.0747 
33350  0.4986  0.0701 
33400  0.4880  0.0728 
33450  0.5088  0.0756 
33500  0.4973  0.0710 
33550  0.4855  0.0737 
33600  0.5059  0.0766 
33650  0.4905  0.0719 
33700  0.5157  0.0747 
33750  0.4996  0.0701 
33800  0.4869  0.0728 
33850  0.5071  0.0756 
33900  0.4958  0.0710 
33950  0.5180  0.0737 
34000  0.5041  0.0765 
34050  0.4897  0.0719 
34100  0.5159  0.0746 
34150  0.4996  0.0701 
34200  0.4891  0.0728 
34250  0.5069  0.0756 
34300  0.4969  0.0710 
34350  0.4850  0.0737 
34400  0.5056  0.0765 
34450  0.4917  0.0719 
34500  0.5135  0.0746 
34550  0.4959  0.0701 
34600  0.4870  0.0728 
34650  0.5077  0.0756 
34700  0.4981  0.0710 
34750  0.5204  0.0737 
34800  0.5036  0.0765 
34850  0.4918  0.0719 
34900  0.5132  0.0746 
34950  0.4990  0.0701 
35000  0.4883  0.0728 
35050  0.5086  0.0755 
35100  0.4973  0.0710 
35150  0.4868  0.0737 
35200  0.5078  0.0765 
35250  0.4880  0.0719 
35300  0.5081  0.0746 
35350  0.4992  0.0701 
35400  0.4838  0.0728 
35450  0.5056  0.0755 
35500  0.4989  0.0709 
35550  0.5193  0.0737 
35600  0.5010  0.0765 
35650  0.4891  0.0718 
35700  0.5136  0.0746 
35750  0.4962  0.0701 
35800  0.4889  0.0727 
35850  0.5091  0.0755 
35900  0.4989  0.0709 
35950  0.4818  0.0736 
36000  0.5039  0.0765 
36050  0.4946  0.0718 
36100  0.5100  0.0746 
36150  0.4994  0.0700 
36200  0.4925  0.0727 
36250  0.5111  0.0755 
36300  0.4942  0.0709 
36350  0.5148  0.0736 
36400  0.5034  0.0764 
36450  0.4893  0.0718 
36500  0.5131  0.0746 
36550  0.5017  0.0774 
36600  0.4907  0.0727 
36650  0.5106  0.0755 
36700  0.4938  0.0709 
36750  0.4831  0.0736 
36800  0.4978  0.0691 
36850  0.4946  0.0718 
36900  0.5146  0.0745 
36950  0.4978  0.0700 
37000  0.4877  0.0727 
37050  0.5093  0.0755 
37100  0.5008  0.0784 
37150  0.4845  0.0736 
37200  0.4990  0.0691 
37250  0.4977  0.0718 
37300  0.5134  0.0745 
37350  0.5018  0.0774 
37400  0.4894  0.0727 
